claim,reasoning_type,true_label,predicted_label
I have heard that Mobyland had a successor.,existence,True,False
At least Dawn Butler had a successor!,existence,True,False
I know that Joseph Brunton had a successor.,existence,True,False
"Interestingly, Stubb Cabinet had a successor!",existence,True,False
Yes and John Sherman Cooper had a successor after him.,existence,True,True
Satya Faugoo actually had a successor!,existence,True,False
Well Lamberto V. Avellana had a spouse!,existence,True,False
Catherine Linton had a husband as well.,existence,True,True
Jeffrey A. Hart had a spouse as well.,existence,True,True
"I agree, David Farabee had a spouse.",existence,True,True
"Yes, Richard B. Shull had a spouse too!",existence,True,False
"Yes, David Torrisi had a wife!",existence,True,True
"Harry A. Sieben had a spouse, right?",existence,True,True
Sobekemsaf I also have a spouse!,existence,True,False
I have heard that Céline Bara had a wife.,existence,True,False
I know that Ted Sorensen has a wife too.,existence,True,True
Yeah Lisbeth Zwerger has a spouse.,existence,True,False
"Yes, and William Sellers had a wife.",existence,True,False
I know Joseph Brittan had a child.,existence,True,False
It was Benjamin Whitrow who had a child.,existence,True,False
Apparently Guy Stair Sainty had a child!,existence,True,False
"Yes, David McDonough had a child also.",existence,True,False
I have heard Sonia Rykiel had a child.,existence,True,False
Have you heard of Franco Parisi? He had a child.,existence,True,False
"Yes, Martin Clunes actually had a child.",existence,True,True
"I have, Colleen Howe had a child.",existence,True,False
Have you heard of Kelly Cramer? She has a child.,existence,True,False
Aparently FlySur had a parent company.,existence,True,False
Do you know that Arriva TrainCare had a parent company?,existence,True,True
"Yes, and RuffNation Records had a parent company.",existence,True,False
I know that BMO Harris Bank had a parent company too.,existence,True,True
Did you know that Dongfeng Honda has a parent company?,existence,True,False
I read that EMI Classics had a parent company.,existence,True,False
It was a parent company of Memorial Press Group.,existence,True,False
Cruise line Fathom had a parent company.,existence,True,False
"Yes, and Ubisoft Milan had a parent company.",existence,True,False
"Yes, Scott Lithgow had a parent company too.",existence,True,True
"Yes, Kawasaki Ninja 600R has a parent company.",existence,True,True
French Union actually had a capital.,existence,True,False
Do you mean Nayakas of Keladi had a capital?,existence,True,False
Øystre Slidre had a capital.,existence,True,False
"Yep, Meldal has a capital too.",existence,True,True
"Yes, Italian Tripolitania had a capital!",existence,True,False
"Are you familiar with Grue, Norway? It has a capital.",existence,True,False
The duchy of Brabant had a capital there.,existence,True,False
"Well, Lääne County had a capital.",existence,True,False
I know that Köthen (district) had a capital!,existence,True,False
Khmer Air Force had a garrison.,existence,True,True
I know RAF Barford St John had a garrison.,existence,True,True
"Well, Whitcomb's Rangers actually had a garrison.",existence,True,False
Robertson Barracks had a garrison there.,existence,True,True
IAF Aerobatic Team had a garrison.,existence,True,False
I know that Hikanatoi had a garrison.,existence,True,False
Gail Tredwell has a nickname as well.,existence,True,True
"Yep, Billy Miske had a nickname for it.",existence,True,True
La India María had a nickname.,existence,True,True
Yassine El maachi had a nickname for that.,existence,True,True
Richard Fa'aoso had a nickname for that!,existence,True,True
Are you familiar with Mena High School? They have a mascot!,existence,True,True
I remember Strong High School had a mascot.,existence,True,True
Well I know that Cary High School had a mascot!,existence,True,True
"Yes, Wheaton Academy had a mascot too.",existence,True,False
Brock High School used to have a mascot!,existence,True,True
Youngker High School had their own mascot.,existence,True,False
Not sure but Sikeston High School had a mascot.,existence,True,True
Stefan Dimić had a youthclub.,existence,True,True
