claim,true_output,predicted_output
I have heard that Mobyland had a successor.,True,False
At least Dawn Butler had a successor!,True,False
I know that Joseph Brunton had a successor.,True,False
"Interestingly, Stubb Cabinet had a successor!",True,False
Yes and John Sherman Cooper had a successor after him.,True,True
Satya Faugoo actually had a successor!,True,False
Well Lamberto V. Avellana had a spouse!,True,False
Catherine Linton had a husband as well.,True,True
Jeffrey A. Hart had a spouse as well.,True,True
"I agree, David Farabee had a spouse.",True,True
"Yes, Richard B. Shull had a spouse too!",True,False
"Yes, David Torrisi had a wife!",True,True
"Harry A. Sieben had a spouse, right?",True,True
Sobekemsaf I also have a spouse!,True,False
I have heard that Céline Bara had a wife.,True,False
I know that Ted Sorensen has a wife too.,True,True
Yeah Lisbeth Zwerger has a spouse.,True,False
"Yes, and William Sellers had a wife.",True,False
I know Joseph Brittan had a child.,True,False
It was Benjamin Whitrow who had a child.,True,False
Apparently Guy Stair Sainty had a child!,True,False
"Yes, David McDonough had a child also.",True,False
I have heard Sonia Rykiel had a child.,True,False
Have you heard of Franco Parisi? He had a child.,True,False
"Yes, Martin Clunes actually had a child.",True,True
"I have, Colleen Howe had a child.",True,False
Have you heard of Kelly Cramer? She has a child.,True,False
Aparently FlySur had a parent company.,True,False
Do you know that Arriva TrainCare had a parent company?,True,True
"Yes, and RuffNation Records had a parent company.",True,False
I know that BMO Harris Bank had a parent company too.,True,True
Did you know that Dongfeng Honda has a parent company?,True,False
I read that EMI Classics had a parent company.,True,False
It was a parent company of Memorial Press Group.,True,False
Cruise line Fathom had a parent company.,True,False
"Yes, and Ubisoft Milan had a parent company.",True,False
"Yes, Scott Lithgow had a parent company too.",True,True
"Yes, Kawasaki Ninja 600R has a parent company.",True,True
French Union actually had a capital.,True,False
Do you mean Nayakas of Keladi had a capital?,True,False
Øystre Slidre had a capital.,True,False
"Yep, Meldal has a capital too.",True,True
"Yes, Italian Tripolitania had a capital!",True,False
"Are you familiar with Grue, Norway? It has a capital.",True,False
The duchy of Brabant had a capital there.,True,False
"Well, Lääne County had a capital.",True,False
I know that Köthen (district) had a capital!,True,False
Khmer Air Force had a garrison.,True,True
I know RAF Barford St John had a garrison.,True,True
"Well, Whitcomb's Rangers actually had a garrison.",True,False
Robertson Barracks had a garrison there.,True,True
IAF Aerobatic Team had a garrison.,True,False
I know that Hikanatoi had a garrison.,True,False
Gail Tredwell has a nickname as well.,True,True
"Yep, Billy Miske had a nickname for it.",True,True
La India María had a nickname.,True,True
Yassine El maachi had a nickname for that.,True,True
Richard Fa'aoso had a nickname for that!,True,True
Are you familiar with Mena High School? They have a mascot!,True,True
I remember Strong High School had a mascot.,True,True
Well I know that Cary High School had a mascot!,True,True
"Yes, Wheaton Academy had a mascot too.",True,False
Brock High School used to have a mascot!,True,True
Youngker High School had their own mascot.,True,False
Not sure but Sikeston High School had a mascot.,True,True
Stefan Dimić had a youthclub.,True,True
"Yes, Andreas Geipl used to have a youthclub.",True,True
"Yeah, Rubén Palazuelos had a youth club.",True,True
Mário Tóth did! He had a youth club.,True,False
"Heine Fernandez had a youth club, too.",True,False
